habit,initial_wpm,initial_score,initial_reading_lvl,final_wpm,final_score,final_reading_lvl
Daily,29,0.2,Frustration I,43.5,0.26,Frustration II
Daily,57,0.01,Frustration II,85.5,0.013000000000000001,Frustration III
Daily,69,0.75,Frustration III,103.5,0.9750000000000001,Independent II
Daily,109,0.31,Frustration IV,163.5,0.403,Frustration VI
Daily,122,0.09,Frustration V,183.0,0.11699999999999999,Frustration VI
Daily,148,0.25,Frustration VI,222.0,0.325,Frustration VI
Daily,26,0.62,Frustration I,39.0,0.806,Instructional IV
Daily,40,0.69,Frustration II,60.0,0.8969999999999999,Independent VI
Daily,68,0.55,Frustration III,102.0,0.7150000000000001,Frustration IV
Daily,106,0.07,Frustration IV,159.0,0.09100000000000001,Frustration VI
Daily,115,0.14,Frustration V,172.5,0.18200000000000002,Frustration VI
Daily,148,0.27,Frustration VI,222.0,0.35100000000000003,Frustration VI
Daily,26,0.21,Frustration I,39.0,0.273,Frustration II
Daily,44,0.57,Frustration II,66.0,0.741,Frustration III
Daily,66,0.49,Frustration III,99.0,0.637,Frustration IV
Daily,96,0.5,Frustration IV,144.0,0.65,Frustration VI
Daily,122,0.46,Frustration V,183.0,0.5980000000000001,Frustration VI
Daily,148,0.28,Frustration VI,222.0,0.36400000000000005,Frustration VI
Daily,29,0.51,Frustration I,43.5,0.663,Frustration II
Daily,60,0.12,Frustration II,90.0,0.156,Frustration III
Daily,79,0.43,Frustration III,118.5,0.559,Frustration V
Daily,91,0.15,Frustration IV,136.5,0.195,Frustration V
Daily,114,0.13,Frustration V,171.0,0.169,Frustration VI
Daily,152,0.57,Frustration VI,228.0,0.741,Frustration VI
Daily,28,0.02,Frustration I,42.0,0.026000000000000002,Frustration II
Daily,46,0.34,Frustration II,69.0,0.44200000000000006,Frustration III
Daily,74,0.47,Frustration III,111.0,0.611,Frustration V
Daily,109,0.72,Frustration IV,163.5,0.9359999999999999,Independent IV
Daily,127,0.33,Frustration V,190.5,0.42900000000000005,Frustration VI
Daily,153,0.1,Frustration VI,229.5,0.13,Frustration VI
Daily,26,0.1,Frustration I,39.0,0.13,Frustration II
Daily,43,0.1,Frustration II,64.5,0.13,Frustration III
Daily,82,0.52,Frustration III,123.0,0.676,Frustration V
Daily,110,0.39,Frustration IV,165.0,0.507,Frustration VI
Daily,122,0.35,Frustration V,183.0,0.45499999999999996,Frustration VI
Daily,160,0.45,Frustration VI,240.0,0.5850000000000001,Frustration VI
Daily,25,0.2,Frustration I,37.5,0.26,Frustration II
Daily,45,0.19,Frustration II,67.5,0.24700000000000003,Frustration III
Daily,61,0.35,Frustration III,91.5,0.45499999999999996,Frustration IV
Daily,102,0.5,Frustration IV,153.0,0.65,Frustration VI
Daily,111,0.05,Frustration V,166.5,0.065,Frustration VI
Daily,143,0.08,Frustration VI,214.5,0.10400000000000001,Frustration VI
Daily,28,0.47,Frustration I,42.0,0.611,Frustration II
Daily,35,0.62,Frustration II,52.5,0.806,Instructional IV
Daily,79,0.57,Frustration III,118.5,0.741,Frustration V
Daily,98,0.26,Frustration IV,147.0,0.338,Frustration VI
Daily,126,0.41,Frustration V,189.0,0.533,Frustration VI
Daily,151,0.11,Frustration VI,226.5,0.14300000000000002,Frustration VI
Daily,29,0.29,Frustration I,43.5,0.377,Frustration II
Daily,53,0.28,Frustration II,79.5,0.36400000000000005,Frustration III
Daily,70,0.46,Frustration III,105.0,0.5980000000000001,Frustration IV
Daily,106,0.07,Frustration IV,159.0,0.09100000000000001,Frustration VI
Daily,135,0.56,Frustration V,202.5,0.7280000000000001,Frustration VI
Daily,145,0.59,Frustration VI,217.5,0.767,Instructional I
Daily,26,0.39,Frustration I,39.0,0.507,Frustration II
Daily,60,0.14,Frustration II,90.0,0.18200000000000002,Frustration III
Daily,81,0.62,Frustration III,121.5,0.806,Instructional V
Daily,97,0.53,Frustration IV,145.5,0.6890000000000001,Frustration VI
Daily,134,0.16,Frustration V,201.0,0.20800000000000002,Frustration VI
Daily,147,0.27,Frustration VI,220.5,0.35100000000000003,Frustration VI
Sporadic,26,0.54,Frustration I,31.2,0.5940000000000001,Frustration II
